image	sample.number	CO2	Tray	Species	plant	tissue	vessel_no	Area	Mean	IntDen	RawIntDen	radius	diameter	notes	MaxVessel
83A_20x	83	ele	4	Spe	1	primary	1	8742.38	188.36	1646712.355	28497510	52.75211828	105.5042366		23
83A_20x	83	ele	4	Spe	1	primary	2	566.692	184.742	104691.922	1811767	13.43069864	26.86139728		23
83A_20x	83	ele	4	Spe	1	primary	3	339.946	124.237	42233.773	730885	10.40231573	20.80463146		23
83A_20x	83	ele	4	Spe	1	primary	4	331.278	92.34	30590.384	529388	10.26883939	20.53767879		23
83A_20x	83	ele	4	Spe	1	primary	5	742.472	157.135	116668.15	2019024	15.37322926	30.74645852		23
83A_20x	83	ele	4	Spe	1	primary	6	617.658	125.058	77243.047	1336745	14.02164925	28.0432985		23
83A_20x	83	ele	4	Spe	1	primary	7	333.705	134.914	45021.409	779127	10.3063864	20.61277279		23
83A_20x	83	ele	4	Spe	1	primary	10	1116.048	182.232	203379.638	3519627	18.84805326	37.69610653		23
83A_20x	83	ele	4	Spe	1	primary	11	487.296	162.074	78977.967	1366769	12.45436206	24.90872412		23
83A_20x	83	ele	4	Spe	1	primary	19	701.503	140.571	98611.151	1706535	14.94306997	29.88613994		23
83A_20x	83	ele	4	Spe	1	primary	20	749.406	166.378	124684.526	2157753	15.44484829	30.88969657		23
83A_20x	83	ele	4	Spe	1	primary	22	3459.265	158.595	548621.899	9494286	33.18310185	66.3662037		23
83A_20x	83	ele	4	Spe	1	primary	23	1126.681	182.431	205542.047	3557049	18.93762659	37.87525318		23
84B_20x	84	ele	4	Spe	1	lateral	1	1137.024	191.328	217544.104	3764753	19.02435229	38.04870458		5
84B_20x	84	ele	4	Spe	1	lateral	2	1833.616	216.327	396660.985	6864496	24.15901696	48.31803391		5
84B_20x	84	ele	4	Spe	1	lateral	3	381.088	129.188	49232.218	851998	11.01381305	22.0276261		5
84B_20x	84	ele	4	Spe	1	lateral	4	406.282	169.064	68687.831	1188691	11.37205246	22.74410492		5
84B_20x	84	ele	4	Spe	1	lateral	5	4902.604	192.418	943351.035	16325350	39.50376338	79.00752676		5
85A_4x	85	amb	5	Sly	1	primary	1	7510.41	212.456	1595629.09	1072901	48.89414845	97.78829689		51
85A_4x	85	amb	5	Sly	1	primary	2	1606.187	210.299	337779.595	227123	22.61117425	45.22234851		51
85A_4x	85	amb	5	Sly	1	primary	3	6478.287	172.955	1120450.625	753391	45.41038205	90.82076409		51
85A_4x	85	amb	5	Sly	1	primary	4	4460.143	174.367	777700.773	522926	37.67900756	75.35801512		51
85A_4x	85	amb	5	Sly	1	primary	5	1240.333	160.712	199336.704	134034	19.86983281	39.73966563		51
85A_4x	85	amb	5	Sly	1	primary	6	8300.119	184.576	1532000.297	1030117	51.40048574	102.8009715		51
85A_4x	85	amb	5	Sly	1	primary	7	4689.173	202.925	951552.647	639824	38.63431278	77.26862556		51
85A_4x	85	amb	5	Sly	1	primary	8	5336.109	177.483	947070.196	636810	41.21330184	82.42660368		51
85A_4x	85	amb	5	Sly	1	primary	9	4470.553	178.659	798703.153	537048	37.72295344	75.44590689		51
85A_4x	85	amb	5	Sly	1	primary	10	6048.483	158.43	958259.964	644334	43.87814872	87.75629745		51
85A_4x	85	amb	5	Sly	1	primary	11	3026.472	196.939	596029.149	400770	31.03797606	62.07595212		51
85A_4x	85	amb	5	Sly	1	primary	12	5325.699	206.403	1099241.523	739130	41.17308153	82.34616306		51
85A_4x	85	amb	5	Sly	1	primary	13	2265.021	181.957	412135.634	277120	26.85104424	53.70208848		51
85A_4x	85	amb	5	Sly	1	primary	14	1600.238	190.316	304550.863	204780	22.56926174	45.13852349		51
85A_4x	85	amb	5	Sly	1	primary	15	3996.133	217.223	868051.755	583678	35.66523013	71.33046027		51
85A_4x	85	amb	5	Sly	1	primary	16	3515.764	205.668	723080.012	486199	33.45298849	66.90597697		51
85A_4x	85	amb	5	Sly	1	primary	17	2413.742	222.982	538221.297	361900	27.71854869	55.43709737		51
85A_4x	85	amb	5	Sly	1	primary	18	1955.681	183.576	359016.954	241403	24.95020233	49.90040467		51
85A_4x	85	amb	5	Sly	1	primary	19	4414.039	203.32	897464.307	603455	37.48375984	74.96751968		51
85A_4x	85	amb	5	Sly	1	primary	20	4052.647	198.007	802453.896	539570	35.91653666	71.83307331		51
85A_4x	85	amb	5	Sly	1	primary	21	3499.405	174.079	609173.111	409608	33.37506865	66.7501373		51
85A_4x	85	amb	5	Sly	1	primary	22	1991.374	170.196	338923.26	227892	25.17685507	50.35371014		51
85A_4x	85	amb	5	Sly	1	primary	23	6206.127	206.488	1281488.697	861673	44.44627745	88.8925549		51
85A_4x	85	amb	5	Sly	1	primary	24	2624.926	177.78	466658.239	313781	28.90570698	57.81141397		51
85A_4x	85	amb	5	Sly	1	primary	25	2465.794	178.162	439311.422	295393	28.0158278	56.03165561		51
85A_4x	85	amb	5	Sly	1	primary	26	4765.021	181.036	862639.798	580039	38.94551697	77.89103394		51
85A_4x	85	amb	5	Sly	1	primary	27	6436.645	201.484	1296882.808	872024	45.26419929	90.52839858		51
85A_4x	85	amb	5	Sly	1	primary	28	5273.647	190.874	1006601.725	676839	40.97137997	81.94275993		51
85A_4x	85	amb	5	Sly	1	primary	29	5640.988	244.818	1381017.252	928596	42.37431118	84.74862237		51
85A_4x	85	amb	5	Sly	1	primary	30	2305.175	168.21	387752.826	260725	27.08800458	54.17600915		51
85A_4x	85	amb	5	Sly	1	primary	31	2163.891	169.912	367671.029	247222	26.24476896	52.48953793		51
85A_4x	85	amb	5	Sly	1	primary	32	1817.371	168.555	306326.591	205974	24.05175994	48.10351988		51
85A_4x	85	amb	5	Sly	1	primary	33	4066.032	180.646	734512.195	493886	35.97579997	71.95159993		51
85A_4x	85	amb	5	Sly	1	primary	34	2056.811	173.559	356977.989	240032	25.58717013	51.17434026		51
85A_4x	85	amb	5	Sly	1	primary	35	4922.665	193.378	951934.86	640081	39.58450373	79.16900747		51
